name,trading_name,nzbn,street,suburb,postcode,phone,email,website,facebook,instagram,x,linkedin,sources,last_seen_date,notes
The Cove Mangawhai,,,,Mangawhai,,,,https://www.facebook.com/search/top/?q=The+Cove+Mangawhai,https://www.facebook.com/search/top/?q=The+Cove+Mangawhai,,,,cafes-restaurants-search,2026-05-03,cafes-restaurants; verify FB page URL before publish
Tumbleweed Garden Centre,,,,Mangawhai,,,,https://yellow.co.nz/mangawhai-area/garden-centres-nurseries,,,,,garden-centre-search,2026-05-03,garden-hardware; verify direct contact
Allpress Espresso Mangawhai,,,52 Moir Street,Mangawhai,0505,,,https://www.allpressespresso.com/find/bennetts-cafe,,,,,allpressespresso,2026-05-03,cafes-restaurants; co-located inside Bennetts of Mangawhai

Go Gas and Plumbing,,,Mangawhai,Mangawhai,0505,0212455431,info@gogasandplumbing.co.nz,https://www.gogasandplumbing.co.nz/,https://www.facebook.com/gogasandplumbing/,,,,gogasandplumbing.co.nz,2026-05-03,plumbers; certified gasfitter & plumber; family-run by Will & Billie-Jo Griffin; servicing Mangawhai and surrounds; pensioner discount
The Panel Shop,,,83 Tara Road,Mangawhai,0573,0213070020,jaredhollows@gmail.com,https://www.thepanelshop.nz,https://www.facebook.com/thepanelshop,https://instagram.com/thepanelshop_nz,,,thepanelshop.nz,2026-05-03,automotive-marine; panel beating and auto body repairs; restorations and rust repairs
Plumbwise Northland,,,Mangawhai,Mangawhai,0505,021708620,plumbwise.northland@gmail.com,https://plumbwisenorthland.co.nz,,,,,plumbwisenorthland.co.nz,2026-05-03,plumbers; plumbing gasfitting and drainlaying; new builds renovations septic tanks water tanks pumps
Allan Plumbing & Gas Solutions,,,Mangawhai,Mangawhai,0505,0272781120,admin@allanpgs.co.nz,https://www.allanpgs.co.nz/,,,,,allanpgs.co.nz,2026-05-03,plumbers; plumbing gasfitting drainlaying; CCTV drain surveying emergency work new builds renovations; serves Mangawhai and Kaipara
Spectrum Plumbing and Drainage Limited,,,Mangawhai,Mangawhai,0505,021671788,info@spectrumplumbing.co.nz,https://spectrumplumbing.co.nz/,https://www.facebook.com/spectrumplumbingnz/,https://www.instagram.com/spectrumplumbing_ltd/,,,spectrumplumbing.co.nz,2026-05-03,plumbers; plumbing drainage and excavation; residential and commercial; serves Mangawhai Kaiwaka Waipu Maungaturoto Wellsford Te Arai Warkworth
Tend Property Services,,,Mangawhai,Mangawhai,0505,02102414148,owen@tendproperty.com,https://tendproperty.com/,,,,,tendproperty.com,2026-05-03,property-management; bespoke home and property management; housekeeping grounds upkeep maintenance; serves Mangawhai Te Arai and surrounds; trading since 2015; Owen and Alice
Little & Loved,,,Mangawhai,Mangawhai,0505,,,https://littleandloved.co.nz/,https://www.facebook.com/littleandloved,https://www.instagram.com/littleandloved,,,littleandloved.co.nz,2026-05-03,shops-boutiques; online retailer for baby and children products; Mangawhai based with Auckland warehouse; ships NZ-wide
Carl Gordon Electrical,,,Mangawhai,Mangawhai,0505,0220710245,info@cge.co.nz,https://www.cge.co.nz/,https://www.facebook.com/cgemangawhai,,,,cge.co.nz,2026-05-03,electricians; residential and commercial electricians; trading since 2014; serves Mangawhai Heads Langs Beach Waipu Te Arai Kaiwaka; EV charging switchboard upgrades
ComputersPlus,,,Unit 2 / 6 Molesworth Drive,Mangawhai,0505,094314393,,https://computersplus.nz/,https://www.facebook.com/ComputersPlusNZ,,,,computersplus.nz,2026-05-03,technology-it-services; computer and IT services for home and business; hardware repair virus removal networking cybersecurity remote support; located at The Hub Mangawhai Village
Mangawhai Books and Gifts,KING GIFTS LTD,,12D Wood Street,Mangawhai Heads,0505,094314302,info@mangawhaibooksandgifts.co.nz,https://mangawhaibooksandgifts.co.nz/,https://www.facebook.com/MangawhaiBooksandGifts/,,,,mangawhaibooksandgifts.co.nz,2026-05-03,shops-boutiques; independent bookstore and gift retailer; books magazines games puzzles toys stationery art supplies; click and collect available
Dot India Restaurant,,,6 Molesworth Drive,Mangawhai,0505,093930064,,https://www.dotindiatakeaway.co.nz/,,,,,dotindiatakeaway.co.nz,2026-05-03,cafes-restaurants takeaways-food-trucks; authentic Indian cuisine; curries biryanis naan; vegetarian options; takeaway and dine-in
Barfoot & Thompson Mangawhai,,,1c Molesworth Drive,Mangawhai,0505,094315960,,https://www.barfoot.co.nz/branches/mangawhai,,,,,barfoot.co.nz,2026-05-03,real-estate; full-service real estate agency; residential commercial rentals body corporate; Mangawhai branch of Barfoot and Thompson
Asset Construction,Asset Construction Ltd,,,Mangawhai,,094207482,info@assetconstruction.co.nz,https://assetconstruction.co.nz,https://www.facebook.com/assetconstructionltd/,,,,assetconstruction.co.nz,2026-05-04,builders-renovations; civil structural and hardscape construction contractor; earthworks drainage concrete pavement utility services; Northland service area with dedicated Northland Manager
Davis Coastal Consultants,,,938 Whangaparaoa Rd,Manly,0930,094280040,coastal@daviscoastal.co.nz,https://daviscoastal.co.nz,,,,https://www.linkedin.com/company/davis-coastal-consultants,daviscoastal.co.nz,2026-05-04,professional-services; coastal engineering and management; jetties seawalls boardwalks resource consents; serves Mangawhai and Northland coastal projects
Thrive Marketing,,,,Mangawhai,,021677182,Libby@thrivemarketing.nz,https://www.thrivemarketing.nz,https://www.facebook.com/thrivemarketingnz/,https://www.instagram.com/thrivemarketingnz/,,,thrivemarketing.nz,2026-05-04,professional-services; digital marketing strategy and planning; social media management Google Ads Facebook Ads SEO website design email marketing; serves Mangawhai and NZ-wide
Coastal Homes Northland,Coastal Homes Limited,,1c Main Street,Mangawhai,0505,0212224833,lance@coastalhomesnz.com,https://www.coastalhomes.co.nz,https://www.facebook.com/CoastalHomesLimited,https://www.instagram.com/coastalhomesnz/,,,coastalhomes.co.nz,2026-05-04,builders-renovations; custom home design modular homes house and land packages; integrated architect builder interior designer; serves Mangawhai Langs Beach Waipu
Flowerpower Northland,,,17 Kapawiti Road,Mangawhai,0573,0274490464,flowerpowernorthland@gmail.com,https://www.flowerpowernorthland.co.nz,https://www.facebook.com/flowerpowernorthland/,https://www.instagram.com/flowerpowernorthland_,,,flowerpowernorthland.co.nz,2026-05-04,shops-boutiques; bespoke floral design weddings events funerals; grows own flowers and foliage; 25+ years experience
Mangawhai Piercing,,,,Mangawhai,,,,,https://www.facebook.com/people/Mangawhai-Piercing/61577332770382/,,,,facebook,2026-05-04,beauty-hair-spa; body piercing studio
